@relation HomeWand

@attribute DCAreaAX numeric
@attribute DCAreaAY numeric
@attribute DCAreaAZ numeric
@attribute DCAreaGX numeric
@attribute DCAreaGY numeric
@attribute DCAreaGZ numeric
@attribute DCMeanAX numeric
@attribute DCMeanAY numeric
@attribute DCMeanAZ numeric
@attribute DCMeanGX numeric
@attribute DCMeanGY numeric
@attribute DCMeanGZ numeric
@attribute DCTotalMeanA numeric
@attribute DCTotalMeanG numeric
@attribute DCPostureDistAX numeric
@attribute DCPostureDistAY numeric
@attribute DCPostureDistAZ numeric
@attribute DCPostureDistGX numeric
@attribute DCPostureDistGY numeric
@attribute DCPostureDistGZ numeric
@attribute ACLowEnergyAX numeric
@attribute ACLowEnergyAY numeric
@attribute ACLowEnergyAZ numeric
@attribute ACLowEnergyGX numeric
@attribute ACLowEnergyGY numeric
@attribute ACLowEnergyGZ numeric
@attribute ACAbsAreaAX numeric
@attribute ACAbsAreaAY numeric
@attribute ACAbsAreaAZ numeric
@attribute ACAbsAreaGX numeric
@attribute ACAbsAreaGY numeric
@attribute ACAbsAreaGZ numeric
@attribute ACTotalAbsAreaA numeric
@attribute ACTotalAbsAreaG numeric
@attribute ACAbsMeanAX numeric
@attribute ACAbsMeanAY numeric
@attribute ACAbsMeanAZ numeric
@attribute ACAbsMeanGX numeric
@attribute ACAbsMeanGY numeric
@attribute ACAbsMeanGZ numeric
@attribute ACEnergyAX numeric
@attribute ACEnergyAY numeric
@attribute ACEnergyAZ numeric
@attribute ACEnergyGX numeric
@attribute ACEnergyGY numeric
@attribute ACEnergyGZ numeric
@attribute ACVarAX numeric
@attribute ACVarAY numeric
@attribute ACVarAZ numeric
@attribute ACVarGX numeric
@attribute ACVarGY numeric
@attribute ACVarGZ numeric
@attribute ACAbsCVAX numeric
@attribute ACAbsCVAY numeric
@attribute ACAbsCVAZ numeric
@attribute ACAbsCVGX numeric
@attribute ACAbsCVGY numeric
@attribute ACAbsCVGZ numeric
@attribute ACIQRAX numeric
@attribute ACIQRAY numeric
@attribute ACIQRAZ numeric
@attribute ACIQRGX numeric
@attribute ACIQRGY numeric
@attribute ACIQRGZ numeric
@attribute ACRangeAX numeric
@attribute ACRangeAY numeric
@attribute ACRangeAZ numeric
@attribute ACRangeGX numeric
@attribute ACRangeGY numeric
@attribute ACRangeGZ numeric
@attribute Class {okGoogle,weather,disney,coin,joke,schedule,news,whatalbum,soundpet,scarystory,nature,rockMusic,delivery,stop,time,twentySidedDie,timer,candy,mickeyAdventure,movieTimes}

@data
-44.416061,394.456329,3981.734375,-47.903309,404.12323,4410.57373,-0.104263,0.925954,9.346794,-0.056225,0.474323,5.17673,10.168485,5.594828,-1.030217,-9.451057,-8.42084,-0.530548,-5.232954,-4.702407,1243.270874,23516.050781,416939.71875,10266.461914,39970.878906,301695.71875,31.14826,54.186916,111.361839,47.027012,70.811592,168.8517,196.697021,286.690308,0.073118,0.127199,0.261413,0.055196,0.083112,0.198183,897.540527,3163.407715,15512.862305,2114.639404,6037.458008,51524.40625,0.015743,0.05139,0.270867,0.009583,0.027482,0.236905,139.454178,147.520889,172.154388,146.476883,172.581558,224.315216,0.089831,0.127391,0.232893,0.05813,0.071655,0.090544,1.315457,2.656856,5.855865,1.315457,2.656856,7.519436,okGoogle
-138.898788,187.624924,3984.45752,-144.16745,195.856644,4409.588379,-0.326821,0.44147,9.375195,-0.169609,0.23042,5.187751,9.489843,5.248561,-0.768291,-9.702015,-8.933724,-0.400028,-5.357359,-4.957331,281.587402,4655.968262,376492.65625,1618.892578,10408.163086,239693.328125,36.986221,56.163677,133.723267,60.098202,87.074486,198.397415,226.873169,345.570099,0.087026,0.13215,0.314643,0.070704,0.102441,0.233409,1079.550659,4071.803467,17755.433594,3393.059326,9999.603516,60344.070313,0.022277,0.062305,0.346861,0.015694,0.043239,0.276979,139.334381,160.240814,158.228836,146.267471,176.643692,202.091125,0.081377,0.100665,0.245685,0.056917,0.071649,0.116999,1.48772,2.524314,5.806488,1.48772,2.524314,7.485181,okGoogle
-82.815361,326.7258,4012.442139,-87.513298,335.346802,4439.441895,-0.193947,0.765166,9.39682,-0.102475,0.392678,5.19841,9.968039,5.488613,-0.959113,-9.590767,-8.631655,-0.495152,-5.300884,-4.805732,517.779358,11204.203125,397904.28125,3334.761719,47089.34375,270448.59375,38.536816,49.272438,116.535713,56.155434,72.451965,178.461014,204.344971,307.06842,0.09025,0.115392,0.272917,0.065756,0.084838,0.208971,998.273438,3223.400635,14686.871094,2836.407471,7168.27002,54494.179688,0.019434,0.056135,0.286843,0.011657,0.033314,0.245733,117.727768,179.327774,168.851288,130.232391,190.486267,215.109299,0.104362,0.100189,0.264619,0.072481,0.067224,0.100482,1.179936,2.978754,5.77603,1.179936,2.978754,7.460093,okGoogle
-84.656372,215.710678,4029.99707,-89.311806,224.916168,4457.437012,-0.198258,0.505177,9.437932,-0.104581,0.263368,5.219481,9.744851,5.378269,-0.703436,-9.63619,-8.932755,-0.367948,-5.324062,-4.956114,86.44075,9017.419922,402016.25,2592.709229,12935.989258,264836.46875,44.658463,42.885227,126.225471,65.163437,71.637299,185.355377,213.769165,322.156128,0.104587,0.100434,0.29561,0.076304,0.083884,0.217044,3414.094482,1970.343018,14675.724609,7974.686035,4701.675293,55074.253906,0.064121,0.035611,0.299348,0.036004,0.023698,0.250275,220.500183,159.071503,155.743759,227.68013,153.875824,207.672409,0.077606,0.07584,0.281898,0.057276,0.074847,0.090754,3.513761,2.081005,5.832693,3.513761,2.081005,7.480307,okGoogle
-93.220604,335.090729,3993.525391,-97.492508,344.304199,4422.009277,-0.218828,0.786598,9.374473,-0.114428,0.404113,5.190152,9.942243,5.479836,-1.005426,-9.5933,-8.587874,-0.518541,-5.30458,-4.786039,611.215393,13377.413086,394894.34375,4440.389648,50544.425781,280818.90625,31.554203,48.156639,110.392029,50.213169,69.318001,166.591171,190.102875,286.122345,0.074071,0.113044,0.259136,0.058936,0.081359,0.19553,838.73114,1786.892578,15165.743164,2423.498535,4254.449219,52269.019531,0.015649,0.033522,0.274708,0.012554,0.02092,0.238538,136.097687,127.406708,175.808441,161.687103,146.985794,228.894394,0.070429,0.11584,0.214201,0.048125,0.068586,0.077097,1.187532,1.425106,5.79058,1.337878,1.425106,7.497767,okGoogle
-58.637241,267.32547,4020.914307,-63.43029,277.509369,4451.972656,-0.137324,0.626055,9.416661,-0.074274,0.324952,5.213083,9.905393,5.463761,-0.763379,-9.553985,-8.790606,-0.399227,-5.287357,-4.88813,167.776443,10836.524414,398118.375,3461.414795,36366.386719,268412.5625,52.834049,56.53941,139.573074,73.616486,78.559769,199.391769,248.946533,351.568024,0.123733,0.132411,0.326869,0.086202,0.09199,0.23348,2979.63501,2791.606689,16997.880859,6655.166992,5976.015625,58874.703125,0.057526,0.044833,0.338354,0.031988,0.026007,0.270575,166.056412,124.785378,147.201324,181.792389,143.991791,199.085556,0.097985,0.142035,0.3058,0.063849,0.08458,0.0951,2.541238,1.910781,5.844938,2.541238,1.910781,7.500969,okGoogle
-23.24786,313.668365,3993.23877,-27.878258,320.647705,4418.79541,-0.054572,0.736311,9.3738,-0.032759,0.376789,5.192474,10.055538,5.536504,-0.790883,-9.428372,-8.637489,-0.409549,-5.225233,-4.815685,379.93396,8951.371094,381108.5625,6625.674805,40727.828125,261596.828125,49.827785,60.328724,127.060959,69.305962,77.901253,184.778732,237.217468,331.985962,0.116967,0.141617,0.298265,0.081441,0.091541,0.217131,3288.500244,2341.880859,17864.71875,7404.579102,6365.938477,58949.011719,0.059799,0.054771,0.335747,0.033895,0.029744,0.269535,183.600418,131.568192,166.554565,202.740005,159.674072,217.187195,0.08818,0.138523,0.239839,0.049959,0.072272,0.075559,2.800028,2.126988,5.814435,2.800028,2.126988,7.484837,okGoogle
-145.113815,237.951752,4002.783447,-149.8517,246.701996,4438.453125,-0.340643,0.558572,9.396205,-0.175882,0.289556,5.209452,9.614135,5.323126,-0.899215,-9.736848,-8.837633,-0.465439,-5.385334,-4.919896,113.668106,10314.273438,398973.09375,1134.077271,18903.869141,246560.265625,30.065586,42.849415,123.644951,62.184563,74.017563,182.631378,196.559952,318.833496,0.070576,0.100585,0.290246,0.072987,0.086875,0.214356,709.64447,2193.874268,17109.810547,3203.276611,5567.134766,57469.902344,0.01506,0.041212,0.322808,0.01796,0.028304,0.263309,142.246536,175.310318,168.281479,153.998795,165.836288,217.497772,0.058962,0.084916,0.211506,0.058546,0.08191,0.080509,1.246407,2.431973,5.786539,1.701438,2.431973,7.475272,okGoogle
-42.181545,210.32193,3999.574463,-55.951763,224.902802,4432.846191,-0.099485,0.496042,9.432959,-0.065981,0.265216,5.227413,9.829516,5.426648,-0.595527,-9.532443,-8.936916,-0.331196,-5.293394,-4.962198,337.538879,3682.718994,368363.375,681.258972,5219.396484,202452.796875,33.681499,37.170845,121.24894,57.045879,58.278381,177.908188,192.101288,293.232452,0.079438,0.087667,0.285964,0.067271,0.068725,0.209797,973.157654,886.054932,16809.716797,2996.606689,2923.612793,54882.472656,0.019756,0.018888,0.304937,0.013358,0.013299,0.253868,145.970627,120.732452,165.195297,139.709137,134.750824,218.352051,0.075237,0.118449,0.250505,0.073599,0.075905,0.111629,1.405651,1.316307,5.813728,1.405651,1.373226,7.493795,okGoogle
-20.360373,352.087952,3998.200195,-25.066227,358.738434,4414.834961,-0.047907,0.828442,9.40753,-0.029455,0.421549,5.18782,10.188066,5.579915,-0.876349,-9.455437,-8.579087,-0.451004,-5.217275,-4.766271,1430.243042,23008.5625,425919.65625,7412.456055,28296.490234,327843,31.42594,57.921135,133.274689,66.878365,81.556038,196.861649,222.621765,345.296051,0.073943,0.136285,0.313588,0.078588,0.095836,0.23133,838.692078,3437.070068,18235.068359,3532.994385,8149.455078,57885.890625,0.016607,0.062848,0.332513,0.019026,0.036453,0.269808,142.737335,154.39357,154.316559,144.240372,172.306366,201.043884,0.069791,0.117252,0.307107,0.067915,0.068132,0.118295,1.392476,2.094705,5.780179,1.499688,2.094705,7.483325,okGoogle
