                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.900    0.008    0.857      0.900    0.878      0.872    0.967     0.898     okGoogle
                 0.950    0.003    0.950      0.950    0.950      0.947    0.977     0.905     weather
                 1.000    0.011    0.833      1.000    0.909      0.908    0.995     0.833     disney
                 0.850    0.000    1.000      0.850    0.919      0.918    0.996     0.958     coin
                 0.950    0.005    0.905      0.950    0.927      0.923    0.987     0.870     joke
                 0.900    0.000    1.000      0.900    0.947      0.946    0.996     0.969     schedule
                 1.000    0.003    0.952      1.000    0.976      0.975    1.000     0.992     news
                 0.950    0.000    1.000      0.950    0.974      0.973    1.000     0.993     whatalbum
                 0.900    0.000    1.000      0.900    0.947      0.946    1.000     1.000     soundpet
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     scarystory
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     nature
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     rockMusic
                 0.950    0.000    1.000      0.950    0.974      0.973    1.000     1.000     delivery
                 0.900    0.005    0.900      0.900    0.900      0.895    0.989     0.868     stop
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     time
                 0.947    0.003    0.947      0.947    0.947      0.945    0.990     0.909     twentySidedDie
                 0.950    0.005    0.905      0.950    0.927      0.923    0.994     0.965     timer
                 1.000    0.003    0.952      1.000    0.976      0.975    0.999     0.952     candy
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     mickeyAdventure
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     movieTimes
				 0.957    0.002    0.960      0.957    0.958      0.956    0.994     0.956     weighted average
